2018-03-06 20:07:09,930 | app | WARNING | [WARNING] '72' chips are defective on miner '192.168.2.30'.
2018-03-10 09:56:57,526 | app | WARNING | [WARNING] '72' chips are defective on miner '192.168.2.30'.
2018-03-12 13:29:58,448 | app | WARNING | [WARNING] '72' chips are defective on miner '192.168.2.30'.
2018-03-15 21:35:39,838 | app | WARNING | [WARNING] '72' chips are defective on miner '192.168.2.30'.
2018-03-16 16:48:25,171 | app | WARNING | [WARNING] '72' chips are defective on miner '192.168.2.30'.
2018-03-16 21:07:02,539 | app | WARNING | [WARNING] '72' chips are defective on miner '192.168.2.30'.
2018-03-17 22:43:54,815 | app | WARNING | [WARNING] '72' chips are defective on miner '192.168.2.30'.
2018-04-03 21:01:33,377 | app | WARNING | [WARNING] '180' chips are defective on miner '192.168.2.32'.
2018-04-04 07:13:19,868 | app | WARNING | [WARNING] '180' chips are defective on miner '192.168.2.32'.
2018-04-04 07:47:15,036 | app | WARNING | [WARNING] '1' chips are defective on miner '192.168.2.32'.
2018-04-12 15:55:49,740 | app | WARNING | [WARNING] '5' chips are defective on miner '192.168.2.30'.
2018-04-23 07:28:08,525 | app | WARNING | [WARNING] '72' chips are defective on miner '192.168.2.30'.
2018-04-23 18:58:26,298 | app | WARNING | [WARNING] '72' chips are defective on miner '192.168.2.30'.
2018-04-26 07:36:48,823 | app | WARNING | [WARNING] '72' chips are defective on miner '192.168.2.30'.
2018-04-26 10:19:16,135 | app | WARNING | [WARNING] '72' chips are defective on miner '192.168.2.30'.
2018-04-27 07:29:49,089 | app | WARNING | [WARNING] '72' chips are defective on miner '192.168.2.30'.
2018-05-02 17:35:11,782 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.32'.
2018-05-02 19:05:18,703 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.32'.
2018-05-02 19:07:12,433 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.32'.
2018-05-02 21:47:20,798 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.32'.
2018-05-02 21:47:27,779 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.32'.
2018-05-02 21:47:42,410 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.32'.
2018-05-02 21:47:45,328 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.32'.
2018-05-02 21:47:50,391 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.32'.
2018-05-02 21:48:37,845 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.32'.
2018-05-02 21:49:00,005 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.32'.
2018-05-02 21:49:24,322 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.32'.
2018-05-02 21:49:26,132 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.32'.
2018-05-02 21:49:27,752 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.32'.
2018-05-02 21:49:28,914 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.32'.
2018-05-02 21:49:30,007 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.32'.
2018-05-02 21:49:56,453 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.32'.
2018-05-02 21:51:04,282 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.32'.
2018-05-02 22:13:27,006 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.32'.
2018-05-08 09:15:09,667 | app | WARNING | [WARNING] '72' chips are defective on miner '192.168.2.30'.
2018-05-08 14:54:16,473 | app | WARNING | [WARNING] '72' chips are defective on miner '192.168.2.30'.
2018-05-08 15:03:36,489 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 15:03:57,760 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 15:04:02,819 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 15:04:05,829 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 15:06:02,259 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 15:06:29,187 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 15:06:31,094 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 15:06:33,720 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 15:06:36,944 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 15:06:38,661 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 15:08:26,907 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 15:14:12,098 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 15:14:30,921 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 15:15:08,913 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
2018-05-08 15:17:14,140 | app | ERROR | [ERROR] ASIC chips are missing from miner '192.168.2.30'. Your Antminer 'L3+' has '216/288 chips'.
